area,lat,lon,buildings,height,roads,green,density,type
bandra,19.06,72.83,320,28,150,1.2,high,Residential/Commercial
colaba,18.91,72.82,280,25,130,0.8,high,Commercial
bkc,19.05,72.92,350,32,160,0.5,high,Business District
lower_parel,18.99,72.82,300,30,145,0.6,high,Commercial
worli,19.01,72.8,260,26,135,1.0,high,Coastal Residential
dadar,19.02,72.84,290,24,145,0.9,high,Dense Residential
juhu,19.1,72.82,240,22,125,1.5,high,Residential/Coastal
andheri,19.12,72.85,250,22,140,1.5,medium,Mixed Residential/Commercial
malad,19.18,72.84,220,20,130,1.8,medium,Residential
borivali,19.23,72.86,200,18,125,2.0,medium,Residential
kandivali,19.2,72.86,210,19,128,1.9,medium,Residential
goregaon,19.16,72.85,225,20,132,1.7,medium,Residential
santacruz,19.08,72.84,235,21,135,1.6,medium,Mixed
vile_parle,19.09,72.83,230,21,133,1.6,medium,Mixed
chembur,19.05,72.9,220,20,130,1.8,medium,Residential
ghatkopar,19.08,72.91,215,19,128,1.9,medium,Residential
thane,19.2,72.97,230,20,135,2.0,medium,Residential/Commercial
navi_mumbai,19.05,73.02,240,21,140,2.2,medium,Planned City
vashi,19.07,73.0,235,20,138,2.0,medium,Commercial/Residential
airoli,19.15,73.0,200,18,125,2.1,medium,Residential
ghansoli,19.12,73.0,195,17,122,2.2,medium,Residential
kopar_khairane,19.13,72.99,190,17,120,2.3,medium,Residential
powai,19.12,72.91,200,20,120,2.5,low,Residential with Green Spaces
mulund,19.17,72.96,180,16,115,2.8,low,Residential/Suburban
dombivli,19.22,73.08,160,15,110,3.0,low,Suburban
kalyan,19.24,73.13,150,14,105,3.2,low,Suburban
